ts,scan_id,timeframe,level_type,level,touches,price,distance_atr,relation,event,atr,source_ts
2026-09-22T13:33:55.923420+00:00,20260922T133354.358367Z,15m,RESISTANCE,85576.25,2,85985.79,1.6469,ABOVE,NONE,248.66928571,1790058600
2026-09-22T13:33:55.967808+00:00,20260922T133354.358367Z,5m,RESISTANCE,85976.6,1,85985.79,0.0583,ABOVE,RETEST,157.705,1790074800
2026-09-22T13:33:55.967851+00:00,20260922T133354.358367Z,5m,SUPPORT,85912.34,1,85985.79,0.4657,ABOVE,RECLAIM,157.705,1790081400
2026-09-22T13:33:55.967885+00:00,20260922T133354.358367Z,5m,RESISTANCE,86101.7,2,85985.79,0.735,BELOW,NONE,157.705,1790077200
2026-09-22T13:33:55.967918+00:00,20260922T133354.358367Z,5m,SUPPORT,85847.435,2,85985.79,0.8773,ABOVE,RECLAIM,157.705,1790078100
2026-09-22T13:33:55.967949+00:00,20260922T133354.358367Z,5m,RESISTANCE,86191.96,2,85985.79,1.3073,BELOW,NONE,157.705,1790082300
2026-09-22T13:33:55.967980+00:00,20260922T133354.358367Z,5m,SUPPORT,85759.824,5,85985.79,1.4328,ABOVE,RECLAIM,157.705,1790079300
2026-09-22T13:33:55.968011+00:00,20260922T133354.358367Z,5m,RESISTANCE,86259.99,1,85985.79,1.7387,BELOW,NONE,157.705,1790070900
2026-09-22T13:33:55.968067+00:00,20260922T133354.358367Z,5m,SUPPORT,85649.86,1,85985.79,2.1301,ABOVE,REJECTION,157.705,1790067900
2026-09-22T13:36:18.275265+00:00,20260922T133617.529296Z,1h,RESISTANCE,86369.835,2,85992.57,0.6986,BELOW,RETEST,540.01285714,1790064000
2026-09-22T13:36:18.275314+00:00,20260922T133617.529296Z,1h,RESISTANCE,85257.0,1,85992.57,1.3621,ABOVE,NONE,540.01285714,1789981200
2026-09-22T13:36:18.275346+00:00,20260922T133617.529296Z,1h,SUPPORT,85059.28,1,85992.57,1.7283,ABOVE,NONE,540.01285714,1790053200
