ts,scan_id,direction,entry,base_sl,shadow_sl,base_tp,shadow_tp,base_risk,shadow_risk,base_reward,shadow_reward,base_rr,shadow_rr,sl_delta,tp_delta,sl_reason,tp_reason,support,resistance,diagnostic_only
2026-09-23T04:30:51.909760+00:00,20260923T043049.684990Z,SHORT,87074.76,87238.614,87279.5775,86801.67,86706.0885,163.85400000000664,204.81750000000466,273.0899999999965,368.67149999999674,1.6666666666666667,1.7999999999999432,40.96349999999802,-95.58150000000023,SR_1h_RETEST,EXTEND_15m_NONE,"{""price"": 87397.0, ""touches"": 1, ""kind"": ""RESISTANCE"", ""first_ts"": 1790020800, ""last_ts"": 1790020800, ""timeframe"": ""1h"", ""tf_weight"": 0.5, ""distance_atr"": 0.7134750786009447, ""event"": ""RETEST"", ""strength"": 0.55}","{""price"": 86255.595, ""touches"": 2, ""kind"": ""SUPPORT"", ""first_ts"": 1790070300, ""last_ts"": 1790101800, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 3.589556513329015, ""event"": ""NONE"", ""strength"": 0.37}",True
2026-09-23T04:35:38.058489+00:00,20260923T043536.179510Z,LONG,87229.72,87052.67971428571,87008.41964285713,87524.78714285714,87392.00692857143,177.0402857142908,221.30035714287078,295.0671428571368,162.28692857142596,1.6666666666666665,0.7333333333332763,-44.26007142857998,-132.78021428571083,SR_15m_NONE,NEAR_1h_RETEST,"{""price"": 86230.5425, ""touches"": 4, ""kind"": ""SUPPORT"", ""first_ts"": 1790070300, ""last_ts"": 1790109900, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 4.1107057426813824, ""event"": ""NONE"", ""strength"": 0.5700000000000001}","{""price"": 87397.0, ""touches"": 1, ""kind"": ""RESISTANCE"", ""first_ts"": 1790020800, ""last_ts"": 1790020800, ""timeframe"": ""1h"", ""tf_weight"": 0.5, ""distance_atr"": 0.3680562758724705, ""event"": ""RETEST"", ""strength"": 0.55}",True
2026-09-23T04:35:38.246556+00:00,20260923T043536.179510Z,SHORT,87229.72,87406.76028571429,87406.76028571429,86934.65285714286,86831.37935714287,177.0402857142908,177.0402857142908,295.0671428571368,398.3406428571325,1.6666666666666665,2.2499999999998765,0.0,-103.27349999999569,ATR_BASE,EXTEND_15m_NONE,"{""price"": 87397.0, ""touches"": 1, ""kind"": ""RESISTANCE"", ""first_ts"": 1790020800, ""last_ts"": 1790020800, ""timeframe"": ""1h"", ""tf_weight"": 0.5, ""distance_atr"": 0.3680562758724705, ""event"": ""RETEST"", ""strength"": 0.55}","{""price"": 86230.5425, ""touches"": 4, ""kind"": ""SUPPORT"", ""first_ts"": 1790070300, ""last_ts"": 1790109900, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 4.1107057426813824, ""event"": ""NONE"", ""strength"": 0.5700000000000001}",True
2026-09-23T04:48:52.234302+00:00,20260923T044850.068354Z,LONG,87210.02,87025.08264467074,87025.08264467074,87533.32777465813,87533.32777465813,184.93735532926803,184.93735532926803,323.3077746581257,323.3077746581257,1.7482015684852363,1.7482015684851706,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86627.3, ""touches"": 2, ""kind"": ""SUPPORT"", ""first_ts"": 1790130000, ""last_ts"": 1790136300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 3.7250146113384033, ""event"": ""NONE"", ""strength"": 0.28}","{""price"": 87282.81, ""touches"": 1, ""kind"": ""RESISTANCE"", ""first_ts"": 1790137800, ""last_ts"": 1790137800, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.4653072033897892, ""event"": ""NONE"", ""strength"": 0.18000000000000002}",True
2026-09-23T04:48:52.487457+00:00,20260923T044850.068354Z,SHORT,87210.02,87397.74114285715,87397.74114285715,86897.15142857144,86787.64742857144,187.72114285714633,187.72114285714633,312.8685714285675,422.37257142856834,1.6666666666666665,2.249999999999942,0.0,-109.50400000000081,ATR_BASE,EXTEND_5m_NONE,"{""price"": 87282.81, ""touches"": 1, ""kind"": ""RESISTANCE"", ""first_ts"": 1790137800, ""last_ts"": 1790137800, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.4653072033897892, ""event"": ""NONE"", ""strength"": 0.18000000000000002}","{""price"": 86627.3, ""touches"": 2, ""kind"": ""SUPPORT"", ""first_ts"": 1790130000, ""last_ts"": 1790136300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 3.7250146113384033, ""event"": ""NONE"", ""strength"": 0.28}",True
2026-09-23T04:59:19.106077+00:00,20260923T045917.256126Z,LONG,87198.51,87023.59542857143,86979.86678571429,87490.03428571428,87490.03428571428,174.91457142856962,218.64321428570838,291.52428571428754,291.52428571428754,1.6666666666666667,1.3333333333333777,-43.728642857138766,0.0,SR_15m_NONE,ATR_BASE,"{""price"": 86465.94, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790132400, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 3.0414853960373844, ""event"": ""NONE"", ""strength"": 0.47}","{""price"": 87282.81, ""touches"": 1, ""kind"": ""RESISTANCE"", ""first_ts"": 1790137800, ""last_ts"": 1790137800, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.5783394669398001, ""event"": ""NONE"", ""strength"": 0.18000000000000002}",True
2026-09-23T04:59:19.252525+00:00,20260923T045917.256126Z,SHORT,87198.51,87373.42457142856,87373.42457142856,86906.9857142857,86804.9522142857,174.91457142856962,174.91457142856962,291.52428571428754,393.55778571429255,1.6666666666666667,2.2500000000000626,0.0,-102.033500000005,ATR_BASE,EXTEND_15m_NONE,"{""price"": 87282.81, ""touches"": 1, ""kind"": ""RESISTANCE"", ""first_ts"": 1790137800, ""last_ts"": 1790137800, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.5783394669398001, ""event"": ""NONE"", ""strength"": 0.18000000000000002}","{""price"": 86465.94, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790132400, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 3.0414853960373844, ""event"": ""NONE"", ""strength"": 0.47}",True
2026-09-23T05:16:41.615496+00:00,20260923T051639.283904Z,LONG,86959.62,86787.51199009929,86787.51199009929,87311.01317715803,87311.01317715803,172.10800990070857,172.10800990070857,351.3931771580392,351.3931771580392,2.041701472004422,2.041701472004485,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86627.3, ""touches"": 2, ""kind"": ""SUPPORT"", ""first_ts"": 1790130000, ""last_ts"": 1790136300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 2.167018328326199, ""event"": ""NONE"", ""strength"": 0.28}","{""price"": 87256.25, ""touches"": 2, ""kind"": ""RESISTANCE"", ""first_ts"": 1790137800, ""last_ts"": 1790139300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 1.9342881762500752, ""event"": ""NONE"", ""strength"": 0.28}",True
2026-09-23T05:16:41.799401+00:00,20260923T051639.283904Z,SHORT,86959.62,87143.64428571428,87143.64428571428,86652.91285714286,86652.91285714286,184.02428571428754,184.02428571428754,306.7071428571362,306.7071428571362,1.6666666666666665,1.666666666666614,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 87256.25, ""touches"": 2, ""kind"": ""RESISTANCE"", ""first_ts"": 1790137800, ""last_ts"": 1790139300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 1.9342881762500752, ""event"": ""NONE"", ""strength"": 0.28}","{""price"": 86627.3, ""touches"": 2, ""kind"": ""SUPPORT"", ""first_ts"": 1790130000, ""last_ts"": 1790136300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 2.167018328326199, ""event"": ""NONE"", ""strength"": 0.28}",True
2026-09-23T05:16:42.060677+00:00,20260923T051639.283904Z,LONG,86959.62,86787.51199009929,86787.51199009929,87311.01317715803,87311.01317715803,172.10800990070857,172.10800990070857,351.3931771580392,351.3931771580392,2.041701472004422,2.041701472004485,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86627.3, ""touches"": 2, ""kind"": ""SUPPORT"", ""first_ts"": 1790130000, ""last_ts"": 1790136300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 2.167018328326199, ""event"": ""NONE"", ""strength"": 0.28}","{""price"": 87256.25, ""touches"": 2, ""kind"": ""RESISTANCE"", ""first_ts"": 1790137800, ""last_ts"": 1790139300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 1.9342881762500752, ""event"": ""NONE"", ""strength"": 0.28}",True
