ts,scan_id,price,spread,spread_bps,bid_depth,ask_depth,imbalance,bid_levels,ask_levels,nearest_bid,nearest_ask,nearest_bid_distance_bps,nearest_ask_distance_bps,buy_volume,sell_volume,trade_delta,top_bid_clusters,top_ask_clusters,error,diagnostic_only
2026-09-23T13:09:32.553447+00:00,20260923T130931.561573Z,85265.01,0.00999999999476131,0.0011728140294314528,1.3474073800000002,1.8875352300000006,-0.16696674875477938,25,25,85265.0,85265.01,0.0011728140294314528,0.0,0.33393354000000003,0.05221972,0.28171382,"[{'price': 85257.68, 'size': 0.20063396, 'orders': 1}, {'price': 85265.0, 'size': 0.15156476, 'orders': 6}, {'price': 85254.78, 'size': 0.14208824, 'orders': 1}, {'price': 85257.66, 'size': 0.12665773, 'orders': 1}, {'price': 85259.55, 'size': 0.09383112, 'orders': 1}]","[{'price': 85272.0, 'size': 1.0, 'orders': 1}, {'price': 85277.0, 'size': 0.14739958, 'orders': 2}, {'price': 85278.04, 'size': 0.11726349, 'orders': 1}, {'price': 85266.27, 'size': 0.09382373, 'orders': 1}, {'price': 85271.99, 'size': 0.09369504, 'orders': 1}]",,True
2026-09-23T13:28:00.229788+00:00,20260923T132759.025641Z,85526.61,0.00999999999476131,0.0011692267464782377,2.7405333899999995,2.95911561,-0.03835011945472441,25,25,85539.1,85539.11,0.0,1.4615334338634491,0.35691720000000005,0.5605032999999999,-0.20358609999999988,"[{'price': 85523.2, 'size': 1.04517694, 'orders': 1}, {'price': 85522.0, 'size': 0.5, 'orders': 1}, {'price': 85520.23, 'size': 0.27334244, 'orders': 1}, {'price': 85528.03, 'size': 0.14959157, 'orders': 1}, {'price': 85520.22, 'size': 0.11693141, 'orders': 1}]","[{'price': 85553.99, 'size': 1.43445255, 'orders': 1}, {'price': 85554.0, 'size': 0.5, 'orders': 1}, {'price': 85539.11, 'size': 0.11744899, 'orders': 4}, {'price': 85553.77, 'size': 0.11688556, 'orders': 1}, {'price': 85548.94, 'size': 0.071308, 'orders': 1}]",,True
2026-09-23T13:44:09.450730+00:00,20260923T134408.490723Z,85808.22,0.00999999999476131,0.0011653895156852469,5.7783039700000005,5.373147029999999,0.036332217215499694,25,25,85821.3,85821.31,0.0,1.5254948768307406,1.16392135,0.9957467100000003,0.16817463999999982,"[{'price': 85808.41, 'size': 1.98960546, 'orders': 3}, {'price': 85805.0, 'size': 1.0100001, 'orders': 3}, {'price': 85806.0, 'size': 1.0, 'orders': 1}, {'price': 85808.4, 'size': 0.842568, 'orders': 1}, {'price': 85807.0, 'size': 0.5, 'orders': 1}]","[{'price': 85846.0, 'size': 1.0, 'orders': 1}, {'price': 85847.0, 'size': 1.0, 'orders': 1}, {'price': 85850.0, 'size': 1.0, 'orders': 1}, {'price': 85839.0, 'size': 0.5, 'orders': 1}, {'price': 85845.99, 'size': 0.27243645, 'orders': 1}]",,True
2026-09-23T13:55:23.281493+00:00,20260923T135522.174061Z,85701.45,0.6199999999953434,0.07234416687177911,7.851543269999999,3.35767852,0.400907826983054,25,25,85681.32,85681.94,2.3488517405469924,0.0,0.49914611000000003,0.3927910400000001,0.10635506999999994,"[{'price': 85668.0, 'size': 1.5, 'orders': 2}, {'price': 85662.79, 'size': 1.14031291, 'orders': 2}, {'price': 85668.01, 'size': 1.03081418, 'orders': 2}, {'price': 85660.0, 'size': 1.01, 'orders': 2}, {'price': 85669.0, 'size': 1.0, 'orders': 1}]","[{'price': 85710.0, 'size': 1.0, 'orders': 1}, {'price': 85708.11, 'size': 0.75592335, 'orders': 2}, {'price': 85698.58, 'size': 0.20325511, 'orders': 2}, {'price': 85693.19, 'size': 0.11673312, 'orders': 1}, {'price': 85696.01, 'size': 0.11673312, 'orders': 1}]",,True
2026-09-23T14:10:53.026217+00:00,20260923T141051.877658Z,85037.04,0.00999999999476131,0.0011759581465631108,7.738671130000001,9.19131561,-0.08580304889240564,25,25,85047.49,85047.5,0.0,1.2300522219501528,1.84534027,2.59826208,-0.7529218100000001,"[{'price': 84996.0, 'size': 1.5, 'orders': 2}, {'price': 84984.01, 'size': 1.32669553, 'orders': 1}, {'price': 84995.0, 'size': 1.0, 'orders': 1}, {'price': 84990.0, 'size': 1.0, 'orders': 1}, {'price': 84984.0, 'size': 1.0, 'orders': 1}]","[{'price': 85084.0, 'size': 1.5, 'orders': 2}, {'price': 85094.0, 'size': 1.5, 'orders': 2}, {'price': 85064.97, 'size': 1.10457921, 'orders': 2}, {'price': 85085.29, 'size': 1.05776215, 'orders': 1}, {'price': 85085.0, 'size': 1.0, 'orders': 1}]",,True
2026-09-23T14:28:44.181705+00:00,20260923T142841.955092Z,84119.86,4.919999999998254,0.5848797180592376,4.31293644,80.08842727999999,-0.897799366031381,25,25,84111.07,84115.99,1.0449375450688574,0.0,0.8274894599999999,2.3773070800000005,-1.5498176200000007,"[{'price': 84101.0, 'size': 1.0, 'orders': 1}, {'price': 84102.0, 'size': 0.5, 'orders': 1}, {'price': 84101.01, 'size': 0.45185989, 'orders': 1}, {'price': 84096.35, 'size': 0.45185989, 'orders': 1}, {'price': 84093.19, 'size': 0.45185989, 'orders': 1}]","[{'price': 84134.83, 'size': 54.73598887, 'orders': 1}, {'price': 84134.82, 'size': 17.78216432, 'orders': 2}, {'price': 84127.76, 'size': 1.36388073, 'orders': 1}, {'price': 84130.0, 'size': 1.01, 'orders': 2}, {'price': 84129.0, 'size': 1.0, 'orders': 1}]",,True
2026-09-23T14:45:30.713542+00:00,20260923T144530.085081Z,84332.19,0.00999999999476131,0.0011857868264492253,5.952791519999999,6.24969388,-0.02433130221159705,25,25,84332.19,84332.2,0.0,0.0011857868264492253,0.23882936000000005,0.6884176699999998,-0.4495883099999997,"[{'price': 84319.01, 'size': 0.78372048, 'orders': 1}, {'price': 84327.5, 'size': 0.57951207, 'orders': 1}, {'price': 84327.49, 'size': 0.47535349, 'orders': 1}, {'price': 84324.93, 'size': 0.47535349, 'orders': 1}, {'price': 84321.42, 'size': 0.47535349, 'orders': 1}]","[{'price': 84345.99, 'size': 1.18703124, 'orders': 2}, {'price': 84349.0, 'size': 1.0, 'orders': 1}, {'price': 84346.0, 'size': 0.5, 'orders': 1}, {'price': 84348.0, 'size': 0.5, 'orders': 1}, {'price': 84339.83, 'size': 0.47535349, 'orders': 1}]",,True
2026-09-23T15:00:16.167972+00:00,20260923T150014.520897Z,84477.73,3.220000000001164,0.38116554504970296,4.92835325,9.163776849999998,-0.3005524054876557,25,25,84491.61,84494.83,0.0,2.0242021181210506,0.30748665000000003,0.9426336299999998,-0.6351469799999998,"[{'price': 84477.59, 'size': 0.92422285, 'orders': 2}, {'price': 84485.84, 'size': 0.53342226, 'orders': 2}, {'price': 84485.72, 'size': 0.47342909, 'orders': 1}, {'price': 84482.86, 'size': 0.47342909, 'orders': 1}, {'price': 84480.15, 'size': 0.47342909, 'orders': 1}]","[{'price': 84507.5, 'size': 1.58284026, 'orders': 1}, {'price': 84507.0, 'size': 1.5, 'orders': 2}, {'price': 84508.0, 'size': 1.0, 'orders': 1}, {'price': 84504.92, 'size': 0.88560717, 'orders': 1}, {'price': 84499.76, 'size': 0.62658117, 'orders': 1}]",,True
2026-09-23T15:16:11.640247+00:00,20260923T151610.578676Z,84766.53,0.00999999999476131,0.001179710906505352,9.115966740000001,3.20863034,0.4793127403399058,25,25,84776.14,84776.15,0.0,1.1348818926521287,0.21249027999999998,0.8537250600000003,-0.6412347800000002,"[{'price': 84765.0, 'size': 1.5, 'orders': 2}, {'price': 84760.01, 'size': 1.38563822, 'orders': 2}, {'price': 84764.0, 'size': 1.0, 'orders': 1}, {'price': 84761.0, 'size': 1.0, 'orders': 1}, {'price': 84760.0, 'size': 1.0, 'orders': 1}]","[{'price': 84790.89, 'size': 0.57872849, 'orders': 1}, {'price': 84788.3, 'size': 0.42516653, 'orders': 1}, {'price': 84790.9, 'size': 0.42516653, 'orders': 1}, {'price': 84793.61, 'size': 0.42516653, 'orders': 1}, {'price': 84794.58, 'size': 0.35533295, 'orders': 1}]",,True
2026-09-23T15:32:46.890718+00:00,20260923T153245.884209Z,84445.72,0.00999999999476131,0.0011841926381539894,11.056436750000001,5.53868742,0.3324921991228464,25,25,84467.03,84467.04,0.0,2.5246987058660206,0.22400407000000003,0.9434133900000001,-0.7194093200000001,"[{'price': 84456.01, 'size': 1.51764582, 'orders': 2}, {'price': 84450.01, 'size': 1.07392973, 'orders': 1}, {'price': 84455.0, 'size': 1.01, 'orders': 2}, {'price': 84450.0, 'size': 1.01, 'orders': 2}, {'price': 84456.0, 'size': 1.0, 'orders': 1}]","[{'price': 84489.29, 'size': 1.0881999, 'orders': 2}, {'price': 84491.0, 'size': 1.0, 'orders': 1}, {'price': 84484.98, 'size': 0.64324516, 'orders': 2}, {'price': 84488.0, 'size': 0.5, 'orders': 1}, {'price': 84481.83, 'size': 0.44976325, 'orders': 1}]",,True
2026-09-23T15:47:26.897923+00:00,20260923T154725.999654Z,84266.09,0.010000000009313226,0.0011867169829896257,13.807826679999996,2.5333452800000003,0.6899432566769218,25,25,84254.56,84254.57,1.3682846801125856,0.0,0.37974210999999986,0.50831623,-0.12857412000000018,"[{'price': 84248.01, 'size': 2.17936897, 'orders': 1}, {'price': 84240.0, 'size': 1.51, 'orders': 3}, {'price': 84248.0, 'size': 1.5, 'orders': 2}, {'price': 84241.18, 'size': 1.17523363, 'orders': 2}, {'price': 84249.0, 'size': 1.0, 'orders': 1}]","[{'price': 84270.64, 'size': 0.379755, 'orders': 1}, {'price': 84267.48, 'size': 0.35570984, 'orders': 1}, {'price': 84270.59, 'size': 0.35570984, 'orders': 1}, {'price': 84275.35, 'size': 0.35570984, 'orders': 1}, {'price': 84277.94, 'size': 0.35570984, 'orders': 1}]",,True
